"Descrição","Valor","Encargos","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Cartão","Conta","Observações"
"Pagamento pais  1/12","416.74","0.00","09/05/2026 23:07","11/06/2026","04/06/2026","Parcelada (mensal)","1","12","Entrada AP","Outros","Santander","Nubank",""
"Pastelzinho","50.90","0.00","11/06/2026 21:10","11/06/2026","11/06/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Almoço SV","31.72","0.00","02/05/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Mercado","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/06/2026","04/06/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Bateria Baixo","29.98","0.00","02/05/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Música","Equipamentos","Santander","Nubank",""
"Bk Cinema","51.70","0.00","30/04/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Café João e Alícia","35.53","0.00","30/04/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","Santander","Nubank",""
"Café da manhã SP","80.00","0.00","02/05/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","Santander","Nubank",""
"Combustível","242.99","0.00","30/04/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Carro","Combustível","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/06/2026","08/06/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Di madre","51.01","0.00","02/05/2026 22:11","10/06/2026","04/06/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/06/2026","08/06/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","189.17","0.00","10/06/2024 20:44","10/06/2026","09/06/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Remédio Isa  3/3","60.03","0.00","02/03/2026 20:00","10/06/2026","04/06/2026","Parcelada (mensal)","3","3","Saúde","Remédios","Santander","Nubank",""
"Uber","14.40","0.00","06/05/2026 19:50","10/06/2026","04/06/2026","Nenhuma","0","0","Transporte","Uber","Santander","Nubank",""
"Uber","13.10","0.00","19/05/2026 09:43","10/06/2026","04/06/2026","Nenhuma","0","0","Transporte","Uber","Santander","Nubank",""
"Uber","13.10","0.00","11/05/2026 12:08","10/06/2026","04/06/2026","Nenhuma","0","0","Transporte","Uber","Santander","Nubank",""
"Uber","14.70","0.00","13/05/2026 13:00","10/06/2026","04/06/2026","Nenhuma","0","0","Transporte","Uber","Santander","Nubank",""
"Uber","13.80","0.00","18/05/2026 19:52","10/06/2026","04/06/2026","Nenhuma","0","0","Transporte","Uber","Santander","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/06/2026","04/06/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/06/2026","08/06/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Pagamento antecipado","2225.20","0.00","08/06/2026 00:00","08/06/2026","08/06/2026","Nenhuma","0","0","Cartões de crédito","Adiantamento fatura","-","Nubank",""
"Água","4.00","0.00","07/06/2026 09:53","07/06/2026","07/06/2026","Nenhuma","0","0","Alimentação","Bebidas","-","Santander",""
"Festa junina","100.00","0.00","06/06/2026 21:08","06/06/2026","06/06/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Almoço Sexta","31.50","0.00","05/06/2026 15:24","05/06/2026","05/06/2026","Nenhuma","0","0","Alimentação","Almoço","-","Santander",""
"Unha Isa","70.00","0.00","05/06/2026 09:38","05/06/2026","05/06/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Atacadão pt01","704.00","0.00","01/06/2026 23:06","01/06/2026","01/06/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Almoço Mc","66.90","0.00","31/05/2026 14:29","31/05/2026","31/05/2026","Nenhuma","0","0","Alimentação","Almoço","-","Santander",""
"Sorvete Mc","20.00","0.00","31/05/2026 14:29","31/05/2026","31/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Santander",""
"Picanha do Bob Sid Marcelo","72.43","0.00","29/05/2026 23:22","29/05/2026","29/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Aniversário amiga Isa","78.80","0.00","26/05/2026 22:46","26/05/2026","26/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Pão","8.26","0.00","26/05/2026 18:46","26/05/2026","26/05/2026","Nenhuma","0","0","Mercado","Outros","-","Santander",""
"Coisas Futura","24.00","0.00","25/03/2026 14:24","25/05/2026","25/05/2026","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  8/48","923.21","0.00","18/11/2025 20:19","25/05/2026","19/05/2026","Parcelada (mensal)","8","48","Carro","Financiamento","-","Nubank",""
"Chiclete culto","3.50","0.00","24/05/2026 20:23","24/05/2026","24/05/2026","Nenhuma","0","0","Alimentação","Outros","-","Santander",""
"Lanche domingo noite","35.60","0.00","24/05/2026 20:22","24/05/2026","24/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Café da manhã","76.50","0.00","23/05/2026 09:34","23/05/2026","23/05/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","-","Santander",""
"Empréstimo Janeiro  4/4","226.13","0.00","08/01/2026 07:00","23/05/2026","19/05/2026","Parcelada (mensal)","4","4","Outros","Outros","-","Nubank",""
"Hot dog","25.00","0.00","23/05/2026 18:58","23/05/2026","23/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Lanche pernil","25.00","0.00","23/05/2026 18:58","23/05/2026","23/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Chocolate","9.88","0.00","22/05/2026 22:25","22/05/2026","22/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Santander",""
"Retirada Isa","294.99","0.00","22/05/2026 12:41","22/05/2026","22/05/2026","Nenhuma","0","0","Retirada","Pessoal","-","Nubank",""
"Retirada Thailer","294.99","0.00","22/05/2026 12:41","22/05/2026","22/05/2026","Nenhuma","0","0","Retirada","Pessoal","-","Nubank",""
"Sushi","37.72","0.00","22/05/2026 19:09","22/05/2026","22/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Internet","122.61","0.00","25/11/2024 18:18","21/05/2026","22/05/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Unha Isa","40.00","0.00","21/05/2026 09:20","21/05/2026","21/05/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/05/2026","19/05/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Sucão","76.25","0.00","20/05/2026 21:17","20/05/2026","20/05/2026","Nenhuma","0","0","Alimentação","Almoço","-","Santander",""
"Declaração IRRF","80.00","0.00","19/05/2026 23:31","19/05/2026","19/05/2026","Nenhuma","0","0","Imposto","Outros","-","Nubank",""
"Almoço Picanha do Bob","148.84","0.00","17/05/2026 10:57","17/05/2026","17/05/2026","Nenhuma","0","0","Alimentação","Jantar","-","Santander",""
"Chocolates","36.89","0.00","16/05/2026 17:52","16/05/2026","16/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Santander",""
"Marmita","23.73","0.00","16/05/2026 11:49","16/05/2026","16/05/2026","Nenhuma","0","0","Alimentação","Almoço","-","Santander",""
"Tim","52.20","0.00","16/08/2024 18:24","16/05/2026","19/05/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Pão","11.02","0.00","16/04/2026 18:04","13/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Seguro  8/12","274.48","0.00","18/09/2025 20:06","13/05/2026","04/05/2026","Parcelada (mensal)","8","12","Carro","Seguro","NuBank","Nubank",""
"Carregador","112.80","0.00","12/04/2026 19:47","12/05/2026","25/05/2026","Nenhuma","0","0","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Carregador Isa  1/7","23.86","0.00","12/04/2026 19:16","12/05/2026","31/05/2026","Parcelada (mensal)","1","7","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Corda baixo  2/6","16.66","0.00","27/03/2026 07:18","12/05/2026","06/05/2026","Parcelada (mensal)","2","6","Música","Corda","Mercado Pagos","Nubank",""
"Nível 6 ML","23.20","0.00","04/09/2023 21:46","12/05/2026","06/05/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"Pão e ovo","9.64","0.00","12/05/2026 22:54","12/05/2026","12/05/2026","Nenhuma","0","0","Mercado","Outros","-","Santander",""
"S24 Ultra  2/18","233.83","0.00","23/03/2026 13:32","12/05/2026","06/05/2026","Parcelada (mensal)","2","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  6/8","21.24","0.00","05/12/2025 18:25","12/05/2026","06/05/2026","Parcelada (mensal)","6","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  6/8","33.74","0.00","05/12/2025 18:26","12/05/2026","06/05/2026","Parcelada (mensal)","6","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Aguá","3.50","0.00","29/03/2026 22:02","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Bebidas","Santander","Nubank",""
"Assado","55.58","0.00","02/05/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Bebidas Santanas Ranch","59.00","0.00","26/04/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Bebidas","NuBank","Nubank",""
"Bk Almoço","34.90","0.00","20/04/2026 13:56","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Cabelo","45.00","0.00","04/04/2026 22:24","11/05/2026","04/05/2026","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"Camisinha","21.48","0.00","24/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Saúde","Outros","NuBank","Nubank",""
"Capinha Pelicula Isa","119.99","0.00","11/04/2026 22:25","11/05/2026","04/05/2026","Nenhuma","0","0","Tecnologia","Celular","NuBank","Nubank",""
"Churrasco Emanuel","65.97","0.00","18/04/2026 19:04","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Coisas Atacadão","62.20","0.00","28/04/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Coisas Viagem","27.96","0.00","19/04/2026 19:08","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Combustível","150.00","0.00","23/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Desconto por antecipação","-29.21","0.00","15/04/2026 00:00","11/05/2026","04/05/2026","Nenhuma","0","0","Cartões de crédito","Desconto por antecipação","NuBank","Nubank",""
"Empréstimo Santander Fevereiro  3/3","258.82","0.00","07/02/2026 19:42","11/05/2026","04/05/2026","Parcelada (mensal)","3","3","Outros","Outros","NuBank","Nubank",""
"Entrada Cabelo Isa","50.00","0.00","11/05/2026 10:42","11/05/2026","11/05/2026","Nenhuma","0","0","Beleza","Cabelo","-","Nubank",""
"Estacionamento Tivoli","16.00","0.00","21/04/2026 17:37","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Estacionamento","NuBank","Nubank",""
"Estorno de ajuste","-24.08","0.00","04/05/2026 22:44","11/05/2026","04/05/2026","Nenhuma","0","0","Cartões de crédito","Estornos","NuBank","Nubank",""
"Gasolina","278.18","0.00","06/04/2026 12:36","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Gasolina","150.11","0.00","16/04/2026 13:34","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Gasolina","30.00","0.00","04/04/2026 22:24","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Icy Gelato","46.00","0.00","23/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Ifood","53.34","0.00","03/04/2026 22:05","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Keks sorvetes","31.35","0.00","18/04/2026 07:47","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Kimba","58.00","0.00","21/04/2026 22:45","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Manutenção Fiesta Correia  1/4","586.50","0.00","04/04/2026 22:23","11/05/2026","04/05/2026","Parcelada (mensal)","1","4","Carro","Manutenção","NuBank","Nubank",""
"Manutenção Fiesta Correia  2/4","586.50","0.00","04/04/2026 22:23","11/05/2026","04/05/2026","Parcelada (mensal)","2","4","Carro","Manutenção","NuBank","Nubank",""
"Manutenção Fiesta Correia  3/4","586.50","0.00","04/04/2026 22:23","11/05/2026","04/05/2026","Parcelada (mensal)","3","4","Carro","Manutenção","NuBank","Nubank",""
"Manutenção Fiesta Correia  4/4","586.50","0.00","04/04/2026 22:23","11/05/2026","04/05/2026","Parcelada (mensal)","4","4","Carro","Manutenção","NuBank","Nubank",""
"Mariliam","60.50","0.00","04/04/2026 23:10","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mc","72.80","0.00","05/04/2026 23:33","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Nimesulida","10.52","0.00","15/04/2026 22:33","11/05/2026","04/05/2026","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Não sei","60.00","0.00","03/05/2026 22:08","11/05/2026","04/05/2026","Nenhuma","0","0","Others","Outros","Santander","Nubank",""
"Não sei","70.00","0.00","03/04/2026 22:06","11/05/2026","04/05/2026","Nenhuma","0","0","Others","Outros","Santander","Nubank",""
"Pagamento antecipado","-2316.79","0.00","15/04/2026 00:00","11/05/2026","04/05/2026","Nenhuma","0","0","Cartões de crédito","Adiantamento fatura","NuBank","Nubank",""
"Pastel","37.50","0.00","09/04/2026 23:07","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pastel Sorocaba","29.00","0.00","18/04/2026 19:03","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pedágio","9.20","0.00","26/04/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio","4.90","0.00","18/04/2026 18:59","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio","7.12","0.00","18/04/2026 18:59","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio","7.50","0.00","26/04/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio Volta SP","39.40","0.00","02/05/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio ida SP","39.40","0.00","02/05/2026 21:48","11/05/2026","04/05/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Película","100.00","0.00","02/04/2026 23:15","11/05/2026","04/05/2026","Nenhuma","0","0","Tecnologia","Celular","Santander","Nubank",""
"Picanha do bob bebidas","52.47","0.00","22/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pizzaria","147.95","0.00","18/04/2026 07:47","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Presente Mãe  2/2","65.00","0.00","14/03/2026 23:57","11/05/2026","04/05/2026","Parcelada (mensal)","2","2","Presente","Diversos","NuBank","Nubank",""
"Pão manhã","5.51","0.00","18/04/2026 07:48","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Queijo mussarela","21.33","0.00","16/04/2026 17:40","11/05/2026","04/05/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Santanas Ranch  1/5","347.76","0.00","24/04/2026 21:48","11/05/2026","04/05/2026","Parcelada (mensal)","1","5","Viagem","Pacotes","NuBank","Nubank",""
"Sorvete","19.00","0.00","11/05/2026 14:13","11/05/2026","11/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Santander",""
"Sorvete Keks","34.12","0.00","21/04/2026 22:44","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Sorvete Mc","30.00","0.00","21/04/2026 17:37","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Sorvete Sorocaba","22.00","0.00","18/04/2026 19:05","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Spani coisas viagens","37.52","0.00","24/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Bebidas","NuBank","Nubank",""
"Supermercado Emanuel","21.96","0.00","19/04/2026 19:08","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Supermercado Emanuel","20.00","0.00","19/04/2026 19:08","11/05/2026","04/05/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Tapete casa","66.89","0.00","11/05/2026 14:10","11/05/2026","11/05/2026","Nenhuma","0","0","Moradia","Móveis","-","Nubank Casa",""
"Uber","7.95","0.00","23/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","18.30","0.00","14/04/2026 21:33","11/05/2026","04/05/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","8.96","0.00","23/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","19.94","0.00","14/04/2026 21:33","11/05/2026","04/05/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","7.95","0.00","23/04/2026 21:39","11/05/2026","04/05/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/05/2026","04/05/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","354.90","0.00","10/06/2024 20:42","10/05/2026","06/05/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","717.87","0.00","10/02/2025 23:53","10/05/2026","06/05/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/05/2026","06/05/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Penteadeira Isa","113.26","0.00","10/05/2026 12:48","10/05/2026","10/05/2026","Nenhuma","0","0","Moradia","Outros","-","Nubank Casa",""
"Remédio Isa  2/3","60.03","0.00","02/03/2026 20:00","10/05/2026","04/05/2026","Parcelada (mensal)","2","3","Saúde","Remédios","Santander","Nubank",""
"Sorvete dia das mães","19.00","0.00","10/05/2026 12:19","10/05/2026","10/05/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Nubank",""
"Suporte notebook monitor","142.49","0.00","10/05/2026 09:09","10/05/2026","10/05/2026","Nenhuma","0","0","Tecnologia","Periféricos","-","Nubank Casa",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/05/2026","04/05/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","177.36","0.00","07/11/2024 23:24","08/05/2026","06/05/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Vestido Isa","41.80","0.00","07/05/2026 18:19","07/05/2026","07/05/2026","Nenhuma","0","0","Vestuário","Blusas","-","Nubank",""
"Mercado atacadão","715.03","0.00","04/05/2026 19:40","04/05/2026","04/05/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Cinema","76.00","0.00","02/05/2026 21:15","02/05/2026","02/05/2026","Nenhuma","0","0","Lazer","Cinema","-","Nubank",""
"Coisas casa","139.00","0.00","02/05/2026 21:15","02/05/2026","02/05/2026","Nenhuma","0","0","Mercado","Outros","-","Nubank",""
"Milho","12.00","0.00","02/05/2026 21:15","02/05/2026","02/05/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","-","Nubank",""
"Saque","70.00","0.00","02/05/2026 21:14","02/05/2026","02/05/2026","Nenhuma","0","0","Saque","Outros","-","Nubank",""
"Estúdio","37.50","0.00","01/05/2026 21:13","01/05/2026","01/05/2026","Nenhuma","0","0","Música","Outros","-","Nubank",""
"Uber","14.00","0.00","29/04/2026 21:12","29/04/2026","29/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"Uber","13.10","0.00","28/04/2026 21:07","28/04/2026","28/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"Uber Isa","13.10","0.00","28/04/2026 07:06","28/04/2026","28/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"Cinema","30.00","0.00","27/04/2026 07:06","27/04/2026","27/04/2026","Nenhuma","0","0","Lazer","Cinema","-","Nubank",""
"Uber","13.10","0.00","27/04/2026 21:06","27/04/2026","27/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"App Cortes","14.90","0.00","26/04/2026 21:04","26/04/2026","26/04/2026","Fixa mensal","0","0","Serviços","Assinaturas","-","Nubank",""
"Coisas Futura","24.00","0.00","25/03/2026 14:24","25/04/2026","24/04/2026","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  7/48","920.86","0.00","18/11/2025 20:19","25/04/2026","07/04/2026","Parcelada (mensal)","7","48","Carro","Financiamento","-","Nubank",""
"Cabelo","45.00","0.00","03/05/2026 21:01","24/04/2026","24/04/2026","Nenhuma","0","0","Beleza","Cabelo","-","Nubank",""
"Empréstimo Janeiro  3/4","224.67","0.00","08/01/2026 07:00","23/04/2026","06/04/2026","Parcelada (mensal)","3","4","Outros","Outros","-","Nubank",""
"Unha Isa","40.00","0.00","23/04/2026 20:59","23/04/2026","23/04/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Internet","119.99","0.00","25/11/2024 18:18","21/04/2026","28/04/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Pastel Filme Gabriel","50.00","0.00","21/04/2026 20:56","21/04/2026","21/04/2026","Nenhuma","0","0","Alimentação","Jantar","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/04/2026","06/04/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Retirada Isa","1993.51","0.00","18/04/2026 07:56","18/04/2026","18/04/2026","Nenhuma","0","0","Retirada","Pessoal","-","Nubank",""
"Retirada Thailer","1993.51","0.00","18/04/2026 07:58","18/04/2026","18/04/2026","Nenhuma","0","0","Retirada","Pessoal","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/04/2026","06/04/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Farol milha carro","170.00","0.00","15/04/2026 13:29","15/04/2026","15/04/2026","Nenhuma","0","0","Carro","Manutenção","-","Nubank",""
"Pagamento antecipado","2316.79","0.00","15/04/2026 00:00","15/04/2026","15/04/2026","Nenhuma","0","0","Cartões de crédito","Adiantamento fatura","-","Nubank",""
"Alicate","41.45","0.00","28/03/2026 12:32","13/04/2026","06/04/2026","Nenhuma","0","0","Música","Equipamentos","NuBank","Nubank",""
"Almoço","68.49","0.00","09/03/2026 19:58","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Almoço Maryara","31.45","0.00","10/03/2026 12:38","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Bk Cinema","50.80","0.00","28/03/2026 12:33","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Bolo Isa","22.27","0.00","09/03/2026 19:58","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Churrasco Gabriel","48.91","0.00","15/03/2026 20:39","13/04/2026","06/04/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Flor Isa","70.00","0.00","09/03/2026 19:57","13/04/2026","06/04/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Não sei","25.00","0.00","08/03/2026 12:46","13/04/2026","06/04/2026","Nenhuma","0","0","Others","Outros","NuBank","Nubank",""
"Perfume Isa","103.90","0.00","09/03/2026 19:57","13/04/2026","06/04/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Pipoca Cinema","25.00","0.00","27/03/2026 12:53","13/04/2026","06/04/2026","Nenhuma","0","0","Lazer","Cinema","NuBank","Nubank",""
"Pneu Carro","192.62","0.00","13/03/2026 19:59","13/04/2026","06/04/2026","Nenhuma","0","0","Carro","Manutenção","NuBank","Nubank",""
"Pão manhã","5.51","0.00","29/03/2026 12:30","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Seguro  7/12","274.48","0.00","18/09/2025 20:06","13/04/2026","06/04/2026","Parcelada (mensal)","7","12","Carro","Seguro","NuBank","Nubank",""
"Sorvete Keks","26.97","0.00","22/03/2026 12:34","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Sorvete Keks","17.35","0.00","22/03/2026 12:34","13/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Uber","25.82","0.00","02/04/2026 21:42","13/04/2026","06/04/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber Isa","18.95","0.00","10/03/2026 12:39","13/04/2026","06/04/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber Isa","9.94","0.00","10/03/2026 12:36","13/04/2026","06/04/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Corda baixo  1/6","16.70","0.00","27/03/2026 07:18","12/04/2026","06/04/2026","Parcelada (mensal)","1","6","Música","Corda","Mercado Pagos","Nubank",""
"Creme Isa","65.11","0.00","15/03/2026 00:02","12/04/2026","06/04/2026","Nenhuma","0","0","Beleza","Produtos","Mercado Pagos","Nubank",""
"Iphone 17 Isa","3599.00","0.00","11/04/2026 22:29","12/04/2026","12/04/2026","Nenhuma","0","0","Tecnologia","Celular","-","Nubank",""
"Nível 6 ML","8.90","0.00","04/09/2023 21:46","12/04/2026","06/04/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"Presente Derick + Adap. Bluetooth","45.49","0.00","15/03/2026 00:00","12/04/2026","06/04/2026","Nenhuma","0","0","Presente","Diversos","Mercado Pagos","Nubank",""
"Presente Derick + Adap. Bluetooth","59.86","0.00","15/03/2026 00:00","12/04/2026","06/04/2026","Nenhuma","0","0","Tecnologia","Áudio","Mercado Pagos","Nubank",""
